Name,Club,Position,Overall,Predicted Overall
Bruno Fernandes,Manchester United,CAM,88,87.66662715337405
L. Goretzka,FC Bayern MÃ¼nchen,CM,87,87.09998847334357
L. SuÃ¡rez,AtlÃ©tico de Madrid,CF,88,88.92281908437336
K. De Bruyne,Manchester City,CM,91,90.58870121181567
M. AcuÃ±a,Sevilla FC,LB,84,83.93793960823692
J. Kimmich,FC Bayern MÃ¼nchen,CDM,89,86.2732966327046
Paulinho,Al Ahli,CM,83,82.89968801939662
G. Wijnaldum,Paris Saint-Germain,CM,84,84.09998919547064
E. Can,Borussia Dortmund,CDM,82,82.44884366912167
A. Griezmann,AtlÃ©tico de Madrid,CAM,85,85.48037247628946
L. ModriÄ,Real Madrid CF,CM,87,87.1457080078531
Marcos Llorente,AtlÃ©tico de Madrid,CAM,86,86.09510837495114
Sergio Ramos,Paris Saint-Germain,CB,88,86.86977382979855
D. Alaba,Real Madrid CF,CB,84,83.89969444365259
Merino,Real Sociedad,CM,83,83.02379365045265
N. Barella,Inter,CM,84,85.87440755725905
Alex Telles,Manchester United,LB,82,81.89645843448994
F. de Jong,FC Barcelona,CM,87,86.9763605407585
M. Sabitzer,FC Bayern MÃ¼nchen,CM,84,83.89983832468754
J. Cuadrado,Juventus,RB,83,82.89990762351805
Koke,AtlÃ©tico de Madrid,CM,85,85.09986601540326
JoÃ£o Cancelo,Manchester City,RB,86,85.34600717556683
L. Digne,Everton,LB,84,83.35671755518418
F. KostiÄ,Eintracht Frankfurt,LW,84,83.89980889624314
T. Alexander-Arnold,Liverpool,RB,87,85.26255441650035
S. MilinkoviÄ-SaviÄ,Lazio,CM,85,84.77667791700081
A. Vidal,Inter,CM,81,81.09477803670495
P. Pogba,Manchester United,CM,87,86.89981316585458
Casemiro,Real Madrid CF,CDM,89,88.89984405917832
L. Messi,Paris Saint-Germain,RW,93,91.1122635651322
Renato Sanches,LOSC Lille,CAM,80,81.68821591901964
L. Ocampos,Sevilla FC,LW,83,82.78419120910004
Jordi Alba,FC Barcelona,LB,86,85.89964781764739
R. Lewandowski,FC Bayern MÃ¼nchen,CF,92,91.89987150833451
M. Salah,Liverpool,RW,89,89.10022655014785
AngeliÃ±o,RB Leipzig,LW,83,83.13223975353657
Cristiano Ronaldo,Manchester United,CF,91,90.90024750551488
12Â Roberto Carlos,FC Anzhi Makhachkala,CDM,79,76.55438967063183
Canales,Real Betis BalompiÃ©,CAM,83,83.10020153341998
H. Kane,Tottenham Hotspur,CF,90,89.90003676346035
19Â Dani Alves,Paris Saint-Germain,CAM,82,82.09999685652993
M. BrozoviÄ,Inter,CDM,84,82.91803893204128
M. Verratti,Paris Saint-Germain,CM,87,86.4811519927812
SaÃºl,Chelsea,CM,82,82.89249966147153
Thiago,Liverpool,CM,86,85.80655626425246
J. Veretout,Roma,CDM,82,81.69549927413577
J. Henderson,Liverpool,CDM,84,84.10619580665832
I. GÃ¼ndoÄan,Manchester City,CM,85,84.89982352619565
R. Nainggolan,Royal Antwerp FC,CAM,80,79.85219934248535
T. Delaney,Sevilla FC,CB,81,81.0998391974801
Lucas PaquetÃ¡,Olympique Lyonnais,CAM,81,81.21943851587622
F. KessiÃ©,AC Milan,CDM,84,83.4798568792151
R. Malinovskyi,Atalanta,CF,81,80.94651271683372
K. Walker,Manchester City,RB,85,84.89969533907039
R. Gosens,Atalanta,LWB,83,82.90012256850697
S. ManÃ©,Liverpool,LW,89,89.09973247902458
L. Pellegrini,Roma,CAM,81,82.37207920697189
D. Wass,Valencia CF,CM,80,80.4635451797421
A. Hakimi,Paris Saint-Germain,RB,85,83.8206836602505
Y. Tielemans,Leicester City,CM,84,83.90016531687479
Ricardo Pereira,Leicester City,RB,84,83.89963034469545
T. HernÃ¡ndez,AC Milan,LB,84,84.44352446731261
Grimaldo,SL Benfica,CM,82,84.26481598229776
21Â Renato Augusto,Beijing Guoan FC,CM,83,82.44848521146629
Neymar Jr,Paris Saint-Germain,LW,91,90.90032070976443
K. Trippier,AtlÃ©tico de Madrid,RB,84,83.39175510401773
N. De la Cruz,River Plate,CAM,78,78.1003061935566
12Â M. Ballack,Bayer 04 Leverkusen,CM,80,80.42531644306499
Roberto Firmino,Liverpool,CF,85,84.95100957033719
19Â C. Marchisio,Juventus,CM,84,84.10600032077573
R. De Paul,AtlÃ©tico de Madrid,CM,82,81.16774163634147
N. KantÃ©,Chelsea,CDM,90,87.88061586218721
A. Florenzi,AC Milan,RB,81,80.89968727627192
Yuri Berchiche,Athletic Club de Bilbao,LB,82,82.1001632772466
G. Bale,Real Madrid CF,RW,82,82.1001241275869
Portu,Real Sociedad,RW,82,81.16549028673408
A. Di MarÃ­a,Paris Saint-Germain,RW,87,86.89975712677992
21Â I. FernÃ¡ndez,River Plate,CM,81,80.8998040144526
JesÃºs Navas,Sevilla FC,RB,84,83.89991395334995
F. Valverde,Real Madrid CF,CM,83,81.38568246766293
R. Guerreiro,Borussia Dortmund,LB,84,83.75860774758304
L. Paredes,Paris Saint-Germain,CM,81,81.48252419816399
K. MbappÃ©,Paris Saint-Germain,CF,91,90.90011028678063
G. Lo Celso,Tottenham Hotspur,CAM,81,81.66006754369256
19Â D. Srna,Cagliari,CM,78,77.92009464172854
A. Kolarov,Inter,LB,78,78.16660831655842
Fred,Manchester United,CDM,81,80.89969573086775
Carlos Soler,Valencia CF,CAM,81,82.40373562881204
19Â C. Noboa,AC Milan,CM,79,78.89970504744879
RÃºben Neves,Wolverhampton Wanderers,CM,82,82.6735730967027
Anderson Talisca,Al Nassr,CAM,82,82.10014535464137
J. Corona,FC Porto,RW,82,80.7125329854937
Parejo,Villarreal CF,CM,86,85.9001363224168
C. Tolisso,FC Bayern MÃ¼nchen,CM,80,80.1001710792158
A. Witsel,Borussia Dortmund,CDM,83,83.0424142202654
RaÃºl GarcÃ­a,Athletic Club de Bilbao,CM,80,79.90007574983564
Fabinho,Liverpool,CDM,86,85.78683938838888
A. Robertson,Liverpool,LB,87,86.90006960346037
T. Partey,Arsenal,CM,83,82.480775600476
L. Robertone,UniÃ³n Deportiva AlmerÃ­a,CAM,76,76.10028259768372
L. Provod,SK Slavia Praha,CM,77,78.70400941451068
Renan Lodi,AtlÃ©tico de Madrid,LWB,81,80.89990298083514
M. Arnold,VfL Wolfsburg,CM,81,80.90040006379326
17Â J. Vargas,Real Betis BalompiÃ©,LWB,76,75.89984748810112
I. Bennacer,AC Milan,CM,80,80.09982943660752
E. Banega,Al Shabab,CDM,82,82.10010330001501
H. Herrera,AtlÃ©tico de Madrid,CM,81,81.26933590893739
Marcelo,Real Madrid CF,CAM,80,79.89970204295818
W. McKennie,Juventus,CB,77,77.9609400029147
T. Lemar,AtlÃ©tico de Madrid,CAM,83,84.55821147144488
I. PeriÅ¡iÄ,Inter,LW,81,80.89969050055768
Arthur,Juventus,CM,83,82.90444110717432
17Â S. Gerrard,LA Galaxy,CM,81,80.99520665470165
Capa,Athletic Club de Bilbao,RB,80,79.90013427867302
P. Å evÄÃ­k,SK Slavia Praha,CAM,77,76.90126868047396
Oscar,Shanghai Port FC,CAM,82,82.00372216646994
T. Kroos,Real Madrid CF,CM,88,87.30040806201272
F. Mendy,Real Madrid CF,LWB,83,80.58731135035245
Alex Sandro,Juventus,LB,83,82.92374350987309
Diogo Jota,Liverpool,CF,82,82.18622005124013
L. Stindl,Borussia MÃ¶nchengladbach,CAM,82,82.44414926258204
M. PjaniÄ,BeÅiktaÅ JK,CM,82,82.26280124502684
J. Tavernier,Rangers FC,RB,77,76.90012888363127
O. Zinchenko,Manchester City,LB,80,81.5770492769458
Pizzi,SL Benfica,CM,81,81.19103386676925
17Â P. Lahm,FC Bayern MÃ¼nchen,RWB,88,85.46347073689925
H. Mkhitaryan,Roma,CF,83,82.90016232268913
M. Rashford,Manchester United,CAM,85,84.89972004956846
L. MartÃ­nez,Inter,CF,85,84.84486036741713
H. Son,Tottenham Hotspur,LW,89,89.00431971258932
D. van de Beek,Manchester United,CM,81,82.26115626351424
T. Koopmeiners,Atalanta,CM,79,79.09994142336406
J. Milner,Liverpool,CDM,79,79.12473540052449
19Â Filipe LuÃ­s,AtlÃ©tico de Madrid,LWB,85,84.89979468667843
SÃ©rgio Oliveira,FC Porto,CM,80,79.90018420462224
A. Golovin,AS Monaco,RW,79,80.19691565508143
Z. JunuzoviÄ,FC Red Bull Salzburg,CM,76,76.02403098100093
20Â T. Vilhena,AC Milan,CM,78,78.61265109363262
M. HamÅ¡Ã­k,Trabzonspor,CM,80,80.45609239350567
J. Ward-Prowse,Southampton,CM,81,80.54029747282043
C. ArÃ¡nguiz,Bayer 04 Leverkusen,CDM,80,80.10002899786119
Ander Herrera,Paris Saint-Germain,CDM,79,79.27506657810001
Fernandinho,Manchester City,CDM,83,82.90016795217554
M. Uribe,FC Porto,CM,79,78.89975926710576
G. Bonaventura,Fiorentina,CM,78,78.43787737211423
G. Kondogbia,AtlÃ©tico de Madrid,CM,79,78.90030841563872
Lucas VÃ¡zquez,Real Madrid CF,RW,81,81.03318239280352
16Â Michel Bastos,SÃ£o Paulo,LW,78,78.10026286562675
K. Laimer,RB Leipzig,RWB,81,81.91894475801982
16Â Maicon,Roma,RWB,77,76.83168074539444
T. MÃ¼ller,FC Bayern MÃ¼nchen,CAM,87,86.8998625401195
17Â B. TrÃ©moulinas,Sevilla FC,LB,81,81.41119012206778
A. Rabiot,Juventus,CM,81,80.89991901115005
16Â RaÃºl Meireles,FenerbahÃ§e SK,CM,76,76.09997601553205
J. Vardy,Leicester City,CF,86,85.35161235667238
J. Kucka,Watford,CB,77,77.3993619406717
P. Dybala,Juventus,CAM,87,86.90009629689541
T. Savanier,Montpellier HÃ©rault SC,CAM,80,80.09839413180767
CampaÃ±a,Levante UniÃ³n Deportiva,CM,82,81.57757019314306
21Â Hulk,Shanghai Port FC,LW,80,80.10007844028318
Adryan Zonta,RB Bragantino,LWB,81,80.89980209728353
Jorginho,Chelsea,CM,85,84.32133551821536
Jonathan Viera,UniÃ³n Deportiva Las Palmas,CAM,81,80.75921889667072
Gerson,Olympique de Marseille,CDM,80,81.35447023661666
I. RakitiÄ,Sevilla FC,CM,82,82.09983241038454
Marcos Alonso,Chelsea,LWB,79,79.10022094855498
Allan,Everton,CDM,83,82.42372833051331
L. Shaw,Manchester United,LB,84,83.90023556129047
R. Vormer,Club Brugge KV,CM,78,77.90004332461251
21Â Santi Cazorla,AC Milan,CM,82,81.89981790058272
Bernardo Silva,Manchester City,CAM,86,85.89985038977217
C. Erkin,Fatih KaragÃ¼mrÃ¼k S.K.,LB,75,75.21449190220224
Danilo,Juventus,RB,81,80.8298632590366
A. Correa,AtlÃ©tico de Madrid,CAM,83,83.40186359593186
C. Nkunku,RB Leipzig,CAM,81,81.89577978381725
M. Reus,Borussia Dortmund,CAM,85,85.86147588177322
JoÃ£o Moutinho,Wolverhampton Wanderers,CM,80,80.0275511477595
D. Caligiuri,FC Augsburg,RW,77,76.89961001282471
K. Volland,AS Monaco,CF,83,82.8997983670227
B. Bourigeaud,Stade Rennais FC,CM,78,78.11972541663071
M. KovaÄiÄ,Chelsea,CM,83,82.75564254464818
Juan Bernat,Paris Saint-Germain,LB,82,82.22022614034056
Richarlison,Everton,CF,82,82.97022693822876
D. Klaassen,Ajax,CAM,79,78.9000268048895
Carvajal,Real Madrid CF,RB,85,85.11409668145636
Rafinha,Paris Saint-Germain,CM,80,79.6519135929737
E. Bardhi,Levante UniÃ³n Deportiva,CAM,79,78.85247938546003
A. Oxlade-Chamberlain,Liverpool,CAM,79,78.78509720900051
M. Casco,River Plate,LB,77,77.25108076150524
M. DembÃ©lÃ©,Guangzhou City,CM,79,78.89999503850748
O. Trejo,Rayo Vallecano,CAM,75,75.10699645955779
R. Karsdorp,Roma,RWB,78,79.14152063915934
B. AndrÃ©,LOSC Lille,CDM,81,81.09162998398999
19Â Ramires,Jiangsu FC,CDM,80,79.90750727717912
Morales,Levante UniÃ³n Deportiva,CF,81,81.62801866051224
K. Boateng,Hertha BSC,CAM,78,78.0998146280952
Gerard Moreno,Villarreal CF,CF,86,85.8182326670286
T. Ndombele,Tottenham Hotspur,CAM,82,81.9002207498946
M. de Roon,Atalanta,CDM,82,82.10019260421805
N. Fekir,Real Betis BalompiÃ©,CAM,84,83.90026379128662
R. Pereyra,Udinese Calcio,CM,80,80.08130364780015
K. Benzema,Real Madrid CF,CF,89,91.17181430558502
M. Sanson,Aston Villa,CAM,76,75.3622343695496
18Â Gabi,AtlÃ©tico de Madrid,CM,81,80.89979315784882
N. Stanciu,SK Slavia Praha,CAM,78,78.10018662210669
G. Moreno,Shanghai Shenhua FC,CF,77,76.90035853266716
D. Alli,Tottenham Hotspur,CAM,80,80.20275828151374
H. Aouar,Olympique Lyonnais,CAM,81,81.37597059354101
P. ZieliÅski,Napoli,CAM,81,81.29331058079254
M. Antonio,West Ham United,CF,79,78.89958245770396
A. Davies,FC Bayern MÃ¼nchen,LB,82,80.0903806158073
FabiÃ¡n,Napoli,CM,82,81.89985304179966
17Â Maxwell,Paris Saint-Germain,LWB,79,79.10033057423166
E. PÃ©rez,River Plate,CDM,80,80.03591932710735
19Â Y. Rakitskyi,Shakhtar Donetsk,CDM,80,79.3355798901006
M. Locatelli,Juventus,CM,82,82.14783061928236
18Â Eliseu,SL Benfica,LB,76,76.10013208973069
M. ArnautoviÄ,Bologna,CF,81,81.10016856551903
W. Ndidi,Leicester City,CB,85,83.62404638590776
Ãlex Berenguer,Athletic Club de Bilbao,RW,80,79.14471592117968
R. Sterling,Manchester City,LW,88,87.07317162800717
P. Max,PSV,LB,80,80.48628478772034
A. Guardado,Real Betis BalompiÃ©,CDM,78,78.14748506000473
G. Di Lorenzo,Napoli,RB,80,79.43791957863907
Gabriel,SL Benfica,CM,76,76.03976608859617
M. Camara,Olympiacos CFP,CM,77,77.36758887486458
L. Spinazzola,Roma,LWB,83,82.5601333858438
21Â Wendel,Sporting CP,CAM,79,79.85120310465989
A. Claude-Maurice,OGC Nice,CAM,77,76.8996889807082
T. SouÄek,West Ham United,CDM,82,81.71578038233599
D. TadiÄ,Ajax,LW,84,84.10013840865548
R. Delgado,Club AtlÃ©tico ColÃ³n,CB,74,74.12321013991951
W. Ben Yedder,AS Monaco,CF,84,83.89971496160649
R. Skov,TSG Hoffenheim,LW,75,75.32843963050277
Cucurella,Brighton & Hove Albion,LW,81,81.10030939090095
19Â F. GuarÃ­n,Shanghai Shenhua FC,CAM,74,74.09977226805202
J. McGinn,Aston Villa,CM,78,78.10031587876723
M. Faraoni,Hellas Verona,RWB,77,76.78024504888988
R. RodrÃ­guez,Torino F.C.,LB,76,75.51449195352069
M. Wakaso,Shenzhen FC,CDM,71,71.56729096918158
Y. Bissouma,Brighton & Hove Albion,CM,79,78.72867487125941
V. van Dijk,Liverpool,CB,89,88.90017140060516
Ai Kesen,Guangzhou FC,CF,79,78.43487249425321
Gedson Fernandes,SL Benfica,CAM,77,77.19301209574746
15Â Xavi,FC Barcelona,CAM,86,85.8518859142705
K. Demirbay,Bayer 04 Leverkusen,CM,79,78.67887587830056
S. McTominay,Manchester United,CDM,80,80.627295626584
I. Gueye,Paris Saint-Germain,CDM,82,81.8998463056872
D. SuÃ¡rez,Getafe CF,RB,78,78.0048189279646
19Â Jefferson,Sporting CP,LWB,74,73.89994060683934
Embarba,RCD Espanyol de Barcelona,RW,80,79.89980631213928
E. Haaland,Borussia Dortmund,CF,88,83.479832056177
A. Silva,Club Olimpia,RW,75,75.10022963826188
T. HoleÅ¡,SK Slavia Praha,CB,77,76.90007317742595
Gerson ArmÃ£o,Internacional,LB,78,74.8786177183417
A. RebiÄ,AC Milan,LW,82,81.89971258464726
L. AdvÃ­ncula,Boca Juniors,RB,75,75.09957395492978
M. Cornet,Burnley,CF,75,75.19750314778673
R. Bentancur,Juventus,CDM,78,79.28123761890116
M. Mount,Chelsea,CAM,83,83.68076522768959
Melvin Parrela,RB Bragantino,CB,79,75.61578706261521
Raphinha,Leeds United,LW,82,82.0998431491393
L. Torreira,Fiorentina,CDM,80,80.02730503259369
R. James,Chelsea,RWB,81,79.51042256259218
Ronaldo Cabrais,GrÃªmio,RW,83,82.89991966023564
Rodri,Manchester City,CDM,86,85.62709157329112
D. Blind,Ajax,CB,82,81.8999092823347
GayÃ ,Valencia CF,LWB,83,83.10008432079002
E. Salvio,Boca Juniors,RW,80,79.89965038552309
R. Baku,VfL Wolfsburg,RW,80,79.96828437645867
R. Tapia,RC Celta de Vigo,CB,79,77.87364390952344
MÃ¡rio Fernandes,PFC CSKA Moscow,RB,82,81.9332283122261
Andreas Pereira,Manchester United,CAM,76,75.53581684264489
U. RaÄiÄ,Valencia CF,CM,78,78.45999842089945
Pedro GonÃ§alves,Sporting CP,CAM,81,81.14206935759371
Sergi Darder,RCD Espanyol de Barcelona,CM,79,78.7285559266591
F. Coquelin,Villarreal CF,CM,80,80.09974694468889
A. Young,Aston Villa,LWB,78,77.89968179666471
Diogo GonÃ§alves,SL Benfica,CAM,76,76.90701591730338
J. Lingard,Manchester United,CAM,79,79.10013681074187
A. TchouamÃ©ni,AS Monaco,CM,79,79.02919217026688
E. Cavani,Manchester United,CF,85,85.10024584392548
R. Bazoer,Vitesse,CM,76,76.92659399582486
L. Dendoncker,Wolverhampton Wanderers,CM,77,78.22750649576753
21Â Fernando,Beijing Guoan FC,CDM,79,75.93959109624338
21Â M. Parolo,Lazio,CDM,79,79.09974732222761
N. Gudelj,Sevilla FC,CDM,79,78.92165492371075
R. Soriano,Bologna,CAM,78,77.76309078017485
Roberto Torres,CA Osasuna,RW,78,78.0713201094857
R. Perraud,Southampton,LWB,77,77.1002737250351
L. Olaza,Real Valladolid CF,LB,78,76.67385510440306
R. JimÃ©nez,Wolverhampton Wanderers,CF,83,83.0996005539275
P. HÃ¸jbjerg,Tottenham Hotspur,CDM,83,82.89965226363003
F. Bernardeschi,Juventus,CAM,79,78.61606509957778
J. RodrÃ­guez,Everton,CAM,81,81.09982349912542
M. Ãdegaard,Arsenal,CAM,82,82.4187874985423
K. Phillips,Leeds United,CDM,81,80.8938181151054
D. Kulusevski,Juventus,LW,81,81.10005823899023
W. Cyprien,FC Nantes,CAM,73,72.47596601319144
B. Matuidi,Inter Miami CF,CDM,79,79.10018959406268
E. Camavinga,Real Madrid CF,CM,78,78.1001097178001
M. OrÅ¡iÄ,Dinamo Zagreb,RW,77,77.10014300490326
OtÃ¡vio,FC Porto,LW,81,80.79624752887067
J. Fleck,Sheffield United,CM,75,74.89995311567138
Lucas Moura,Tottenham Hotspur,RW,81,80.65088884839335
T. Hazard,Borussia Dortmund,LW,82,81.71384694861278
J. Maddison,Leicester City,CAM,82,81.5861594613904
Y. Carrasco,AtlÃ©tico de Madrid,LW,84,83.39274566928107
A. DoucourÃ©,Everton,CM,79,78.54920498775834
21Â B. Ndiaye,Al Ain,RWB,73,73.41486683954115
Andeson Trigo,Fluminense,LB,77,77.10014170583224
M. SuÃ¡rez,River Plate,CAM,79,78.95909609561504
R. Aliendro,Club AtlÃ©tico ColÃ³n,CM,75,75.16193637473928
S. Aurier,Tottenham Hotspur,RB,80,79.68490967999242
Unai LÃ³pez,Rayo Vallecano,CAM,77,77.20333436297545
H. Ziyech,Chelsea,RW,84,83.9002185527822
Luis Milla,Granada CF,CM,78,78.18875251249787
Coutinho,FC Barcelona,CAM,82,82.10006831900512
V. Darida,Hertha BSC,CM,76,75.90013529418275
R. Andrich,Bayer 04 Leverkusen,CM,76,75.90010138304272
20Â Y. Cabaye,AS Saint-Ãtienne,CM,76,76.09967434909736
H. ÃalhanoÄlu,Inter,CAM,82,82.09976736149314
21Â K. Asamoah,Cagliari,CDM,74,74.10018478877521
E. Mwepu,Brighton & Hove Albion,CAM,75,76.1460343194445
RubÃ©n Alcaraz,Real Valladolid CF,CDM,74,74.31582314938719
20Â D. De Rossi,Boca Juniors,CB,82,82.08382327011539
O. Tufan,Watford,CM,76,76.23014697995362
K. Tierney,Arsenal,LWB,80,81.6526060123157
V. Rongier,Olympique de Marseille,CDM,77,77.5004330937976
Melero,Levante UniÃ³n Deportiva,CM,77,76.55931245324739
13Â Hugo Viana,SC Braga,CAM,78,77.91049961766775
21Â S. LuliÄ,Lazio,LW,76,76.13272354646153
S. Tonali,AC Milan,CM,77,76.8728470046623
A. Ramsey,Juventus,CM,80,79.90948742450512
O. Etebo,Watford,CDM,72,72.94465101485277
Zubeldia,Real Sociedad,CDM,79,79.81365712514256
M. GÃ¶tze,PSV,CAM,82,82.10028299557824
17Â Felipe Melo,Inter,CB,78,77.90018773313754
V. Moses,Spartak Moskva,RW,78,77.57577572323203
J. Akpa Akpro,Lazio,RW,75,75.12362818461217
M. Depay,FC Barcelona,CF,85,84.89968524236403
N. Tagliafico,Ajax,LB,82,81.89990250291751
G. Krychowiak,AC Milan,CDM,80,80.37949786662892
A. Browne,Preston North End,CM,73,73.1021413169825
S. Gnabry,FC Bayern MÃ¼nchen,RW,85,84.89971515458204
N. NÃ¡ndez,Cagliari,CDM,77,79.44949533437682
L. SanÃ©,FC Bayern MÃ¼nchen,CF,84,84.04985013534606
F. Angileri,River Plate,LB,77,76.78480079796388
C. Roldan,Seattle Sounders FC,CM,75,75.10021574046976
D. Sow,Eintracht Frankfurt,CDM,77,77.15806319992726
Q. Promes,Spartak Moskva,RW,80,80.61310603867959
20Â Mariano,Galatasaray SK,RB,77,77.53944480507103
V. Coufal,West Ham United,RB,80,79.72326431645827
S. Armstrong,Southampton,RW,77,76.85548000232573
MaurÃ­cio,Panathinaikos FC,CDM,75,74.90642873728069
Everticinho,RB Bragantino,RB,78,74.98601424656188
21Â A. Valencia,Gallos Blancos de QuerÃ©taro,RB,78,78.09972895743036
21Â A. Ayew,Swansea City,CF,76,75.89976030497016
J. Bellingham,Borussia Dortmund,CM,79,78.5112142623751
V. GuzmÃ¡n,Pachuca,CAM,75,75.50394638122421
A. Mooy,Shanghai Port FC,CM,77,76.59554627131796
J. Schmid,Sport-Club Freiburg,RB,76,76.17386668406945
T. Meunier,Borussia Dortmund,RB,77,76.58997422332938
14Â C. Seedorf,Botafogo,CAM,82,81.44925515868547
O. SelnÃ¦s,Hebei FC,CM,74,73.85611470231176
J. Draxler,Paris Saint-Germain,CAM,80,79.90008508887738
